country,designation,points,price,province,region_1,taster_name,taster_twitter_handle,title,variety,winery,year
Australia,Family Crest,84,15.0,South Australia,McLaren Vale,Joe Czerwinski,@JoeCz,Angove 2020 Family Crest Chardonnay (McLaren Vale),Chardonnay,Angove,[2020]
US,Y Block,89,22.0,California,Santa Barbara County,Matt Kettmann,@mattkettmann,Qupé 2021 Y Block Chardonnay (Santa Barbara County),Chardonnay,Qupé,[2021]
US,Estate Reserve,88,29.0,California,Santa Clara Valley,Matt Kettmann,@mattkettmann,Jason-Stephens 2018 Estate Reserve Chardonnay (Santa Clara Valley),Chardonnay,Jason-Stephens,[2018]
France,Les Combettes Premier Cru,94,178.0,Burgundy,Puligny-Montrachet,Roger Voss,@vossroger,Domaine Leflaive 2015 Les Combettes Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,[2015]
France,Les Pucelles Premier Cru,94,203.0,Burgundy,Puligny-Montrachet,Roger Voss,@vossroger,Domaine Leflaive 2015 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,[2015]
US,Conner Lee Vineyard,90,33.0,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Arbor Crest 2012 Conner Lee Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Arbor Crest,[2012]
US,Vineyard Selection,85,14.0,California,California,Jim Gordon,@gordone_cellars,Angel's Cup 2019 Vineyard Selection Chardonnay (California),Chardonnay,Angel's Cup,[2019]
France,Château de Chamirey,88,33.0,Burgundy,Mercurey,Roger Voss,@vossroger,Domaines Devillard 2017 Château de Chamirey  (Mercurey),Chardonnay,Domaines Devillard,[2017]
US,Unoaked,88,20.0,Washington,Yakima Valley,Paul Gregutt,@paulgwine ,Airfield Estates 2018 Unoaked Chardonnay (Yakima Valley),Chardonnay,Airfield Estates,[2018]
US,Estate,87,23.0,California,Russian River Valley,Virginie Boone,@vboone,Uptick Vineyards 2020 Estate Chardonnay (Russian River Valley),Chardonnay,Uptick Vineyards,[2020]
France,Le Val,87,15.0,France Other,Vin de France,Roger Voss,@vossroger,Vinadeis 2022 Le Val Chardonnay (Vin de France),Chardonnay,Vinadeis,[2022]
France,Tramier,87,14.0,France Other,Vin de France,Roger Voss,@vossroger,L. Tramier & Fils 2022 Tramier Chardonnay (Vin de France),Chardonnay,L. Tramier & Fils,[2022]
US,Signature,90,34.0,California,Mendocino,Jim Gordon,@gordone_cellars,Alder Springs 2019 Signature Chardonnay (Mendocino),Chardonnay,Alder Springs,[2019]
US,Lavan,88,30.0,California,Sonoma Mountain,Virginie Boone,@vboone,Covenant 2019 Lavan Chardonnay (Sonoma Mountain),Chardonnay,Covenant,[2019]
US,Unoaked,88,19.0,California,Santa Barbara County,Matt Kettmann,@mattkettmann,Hidden Jewel 2020 Unoaked Chardonnay (Santa Barbara County),Chardonnay,Hidden Jewel,[2020]
US,Ellen Lane Estate,95,63.0,California,Russian River Valley,Virginie Boone,@vboone,Paul Hobbs 2018 Ellen Lane Estate Chardonnay (Russian River Valley),Chardonnay,Paul Hobbs,[2018]
US,Don Miguel Vineyard Bonita's Hill Unfiltered,94,48.0,California,Russian River Valley,Virginie Boone,@vboone,Marimar Estate 2017 Don Miguel Vineyard Bonita's Hill Unfiltered Chardonnay (Russian River Valley),Chardonnay,Marimar Estate,[2017]
US,Fresh Crisp Clean,89,22.0,California,California,Jim Gordon,@gordone_cellars,Avant 2020 Fresh Crisp Clean Chardonnay (California),Chardonnay,Avant,[2020]
Argentina,Coleccion,83,16.0,Other,Calchaquí Valley,Michael Schachner,@wineschach,Michel Torino 2012 Coleccion Chardonnay (Calchaquí Valley),Chardonnay,Michel Torino,[2012]
Australia,Reserve,89,24.0,South Australia,Adelaide Hills,Joe Czerwinski,@JoeCz,Jacob's Creek 2015 Reserve Chardonnay (Adelaide Hills),Chardonnay,Jacob's Creek,[2015]
US,Cold Creek Vineyard,90,34.0,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Januik 2017 Cold Creek Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Januik,[2017]
Italy,Teraje,87,25.0,Northeastern Italy,Friuli Grave,Joe Czerwinski,@JoeCz,Pradio 2005 Teraje Chardonnay (Friuli Grave),Chardonnay,Pradio,[]
US,Jam's Blend,86,15.0,California,Lodi,Jim Gordon,@gordone_cellars,Tortoise Creek 2020 Jam's Blend Chardonnay (Lodi),Chardonnay,Tortoise Creek,[2020]
US,Un-Oaked,84,11.0,California,Sonoma County,Virginie Boone,@vboone,River Road 2021 Un-Oaked Chardonnay (Sonoma County),Chardonnay,River Road,[2021]
US,Reserve,84,14.0,California,Russian River Valley,Virginie Boone,@vboone,Frei Brothers 2020 Reserve Chardonnay (Russian River Valley),Chardonnay,Frei Brothers,[2020]
US,Old Head,84,16.0,California,Dunnigan Hills,Virginie Boone,@vboone,Matchbook 2016 Old Head Chardonnay (Dunnigan Hills),Chardonnay,Matchbook,[2016]
Argentina,Elsa,84,12.0,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Valentin Bianchi 2017 Elsa Chardonnay (Mendoza),Chardonnay,Valentin Bianchi,[2017]
Italy,Brut Satèn,86,36.0,Lombardy,Franciacorta,Kerin O’Keefe,@kerinokeefe,Il Mosnel 2016 Brut Satèn Chardonnay (Franciacorta),Chardonnay,Il Mosnel,[2016]
France,Les Villages de Jaffelin,86,19.0,Burgundy,Mâcon-Péronne,Roger Voss,@vossroger,Jaffelin 2019 Les Villages de Jaffelin  (Mâcon-Péronne),Chardonnay,Jaffelin,[2019]
Italy,Brut,86,29.0,Northeastern Italy,Trento,Kerin O’Keefe,@kerinokeefe,Altemasi 2016 Brut Chardonnay (Trento),Chardonnay,Altemasi,[2016]
Argentina,Finca la Linda,84,14.0,Mendoza Province,Luján de Cuyo,Michael Schachner,@wineschach,Luigi Bosca 2015 Finca la Linda Chardonnay (Luján de Cuyo),Chardonnay,Luigi Bosca,[2015]
US,Pahlmeyer,91,41.0,California,North Coast,Jim Gordon,@gordone_cellars,Jayson 2019 Pahlmeyer Chardonnay (North Coast),Chardonnay,Jayson,[2019]
Italy,Secolo Novo Giovanni Biatta Metodo Classico,91,72.0,Lombardy,Franciacorta,Kerin O’Keefe,@kerinokeefe,Le Marchesine 2013 Secolo Novo Giovanni Biatta Metodo Classico Chardonnay (Franciacorta),Chardonnay,Le Marchesine,[2013]
France,Clavoillon Premier Cru,94,133.0,Burgundy,Puligny-Montrachet,Roger Voss,@vossroger,Domaine Leflaive 2014 Clavoillon Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,[2014]
Australia,Signature,88,25.0,Victoria,Yarra Valley,Joe Czerwinski,@JoeCz,Marquee 2014 Signature Chardonnay (Yarra Valley),Chardonnay,Marquee,[2014]
US,Bacigalupi Vineyard,90,30.0,California,Russian River Valley,Virginie Boone,@vboone,Gibbs 2020 Bacigalupi Vineyard Chardonnay (Russian River Valley),Chardonnay,Gibbs,[2020]
US,Estate,88,29.0,Oregon,Dundee Hills,Paul Gregutt,@paulgwine ,The Eyrie Vineyards 2017 Estate Chardonnay (Dundee Hills),Chardonnay,The Eyrie Vineyards,[2017]
US,Olé,84,17.0,California,Central Coast,Matt Kettmann,@mattkettmann,Vino Vargas 2019 Olé Chardonnay (Central Coast),Chardonnay,Vino Vargas,[2019]
France,Château de Messey Les Crets,84,18.0,Burgundy,Mâcon-Chardonnay,Roger Voss,@vossroger,Demessey 2018 Château de Messey Les Crets  (Mâcon-Chardonnay),Chardonnay,Demessey,[2018]
France,Vieilles Vignes,84,22.0,Burgundy,Viré-Clessé,Roger Voss,@vossroger,Jean-Marie Challand 2018 Vieilles Vignes  (Viré-Clessé),Chardonnay,Jean-Marie Challand,[2018]
France,Les Tilles,84,17.0,Burgundy,Mâcon-Villages,Roger Voss,@vossroger,Jean-Marie Challand 2018 Les Tilles  (Mâcon-Villages),Chardonnay,Jean-Marie Challand,[2018]
US,Joie de Vivre,92,35.0,California,Mendocino Ridge,Jim Gordon,@gordone_cellars,Spicy Vines 2020 Joie de Vivre Chardonnay (Mendocino Ridge),Chardonnay,Spicy Vines,[2020]
US,Sangiacomo Family Vineyards,92,35.0,California,Carneros,Virginie Boone,@vboone,William Harrison 2020 Sangiacomo Family Vineyards Chardonnay (Carneros),Chardonnay,William Harrison,[2020]
Argentina,Ampakama,84,11.0,Other,San Juan,Michael Schachner,@wineschach,Casa Montes 2020 Ampakama Chardonnay (San Juan),Chardonnay,Casa Montes,[2020]
US,Suzanne's Blend,84,20.0,California,Russian River Valley,Virginie Boone,@vboone,Gracianna 2020 Suzanne's Blend Chardonnay (Russian River Valley),Chardonnay,Gracianna,[2020]
France,Blanc de Blancs Brut,88,91.0,Champagne,Champagne,Roger Voss,@vossroger,Collet NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Collet,[]
Argentina,Felino,89,20.0,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Viña Cobos 2022 Felino Chardonnay (Mendoza),Chardonnay,Viña Cobos,[2022]
France,Vaillons Premier Cru,91,36.0,Burgundy,Chablis,Roger Voss,@vossroger,La Chablisienne 2018 Vaillons Premier Cru  (Chablis),Chardonnay,La Chablisienne,[2018]
US,Seven Springs Vineyard,91,39.0,Oregon,Eola-Amity Hills,Paul Gregutt,@paulgwine ,Evening Land 2018 Seven Springs Vineyard Chardonnay (Eola-Amity Hills),Chardonnay,Evening Land,[2018]
US,Artisan Collection,86,14.0,California,California,Jim Gordon,@gordone_cellars,HandCraft 2020 Artisan Collection Chardonnay (California),Chardonnay,HandCraft,[2020]
Italy,Alberta Ferretti,86,21.0,Sicily & Sardinia,Sicilia,Kerin O’Keefe,@kerinokeefe,Feudi del Pisciotto 2017 Alberta Ferretti Chardonnay (Sicilia),Chardonnay,Feudi del Pisciotto,[2017]
US,Carsi Vineyard,88,30.0,California,Napa Valley,Virginie Boone,@vboone,V. Sattui 2018 Carsi Vineyard Chardonnay (Napa Valley),Chardonnay,V. Sattui,[2018]
US,Barrel Fermented,87,21.0,Oregon,Applegate Valley,Paul Gregutt,@paulgwine ,Plaisance Ranch 2020 Barrel Fermented Chardonnay (Applegate Valley),Chardonnay,Plaisance Ranch,[2020]
US,Barrel Select American Oak Reserve,87,27.0,California,Carneros,Virginie Boone,@vboone,Roche 2019 Barrel Select American Oak Reserve Chardonnay (Carneros),Chardonnay,Roche,[2019]
Argentina,Lindaflor,87,27.0,Mendoza Province,Uco Valley,Michael Schachner,@wineschach,Monteviejo 2019 Lindaflor Chardonnay (Uco Valley),Chardonnay,Monteviejo,[2019]
US,Quail Series,85,17.0,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Covey Run 2011 Quail Series Chardonnay (Columbia Valley (WA)),Chardonnay,Covey Run,[]
US,Celilo,88,32.0,Washington,Washington,Paul Gregutt,@paulgwine ,Ken Wright 2017 Celilo Chardonnay (Washington),Chardonnay,Ken Wright,[2017]
France,Comme Dessus,88,27.0,Burgundy,Santenay,Roger Voss,@vossroger,Domaine Julie Belland 2020 Comme Dessus  (Santenay),Chardonnay,Domaine Julie Belland,[2020]
US,Ethos Reserve,88,27.0,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Chateau Ste. Michelle 2020 Ethos Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Chateau Ste. Michelle,[2020]
US,Signature Series,90,23.0,California,Russian River Valley,Virginie Boone,@vboone,Kirkland Signature 2019 Signature Series Chardonnay (Russian River Valley),Chardonnay,Kirkland Signature,[2019]
US,Twenty-Seven Blanc de Blanc,90,67.0,California,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Kathryn Kennedy 2010 Twenty-Seven Blanc de Blanc Chardonnay (Santa Cruz Mountains),Chardonnay,Kathryn Kennedy,[]
Spain,Particular,86,17.0,Northern Spain,Cariñena,Michael Schachner,@wineschach,Bodegas San Valero 2019 Particular Chardonnay (Cariñena),Chardonnay,Bodegas San Valero,[2019]
US,Chenoweth Vineyard,90,56.0,California,Russian River Valley,Virginie Boone,@vboone,La Pitchoune 2019 Chenoweth Vineyard Chardonnay (Russian River Valley),Chardonnay,La Pitchoune,[2019]
France,Blanc de Blancs Brut,90,108.0,Champagne,Champagne,Roger Voss,@vossroger,Le Brun de Neuville NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Le Brun de Neuville,[]
France,Preuses Grand Cru,92,50.0,Burgundy,Chablis,Roger Voss,@vossroger,Simonnet-Febvre 2020 Preuses Grand Cru  (Chablis),Chardonnay,Simonnet-Febvre,[2020]
France,Côte de Lechet Premier Cru,92,31.0,Burgundy,Chablis,Roger Voss,@vossroger,Simonnet-Febvre 2021 Côte de Lechet Premier Cru  (Chablis),Chardonnay,Simonnet-Febvre,[2021]
France,Blanc de Blancs Brut,92,88.0,Champagne,Champagne,Roger Voss,@vossroger,José Dhondt NV Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,José Dhondt,[]
US,Chamise Estate Grown,92,45.0,California,Edna Valley,Matt Kettmann,@mattkettmann,Chamisal Vineyards 2020 Chamise Estate Grown Chardonnay (Edna Valley),Chardonnay,Chamisal Vineyards,[2020]
US,Reserve,87,21.0,Washington,Yakima Valley,Sean P. Sullivan,@wawinereport,Airfield Estates 2020 Reserve Chardonnay (Yakima Valley),Chardonnay,Airfield Estates,[2020]
US,Starr Ridge Vineyard Estate,87,27.0,California,Russian River Valley,Virginie Boone,@vboone,Thomas George 2020 Starr Ridge Vineyard Estate Chardonnay (Russian River Valley),Chardonnay,Thomas George,[2020]
US,Estate Grown,87,23.0,California,Carneros,Virginie Boone,@vboone,Broadway Vineyards 2020 Estate Grown Chardonnay (Carneros),Chardonnay,Broadway Vineyards,[2020]
US,Proprietor's Reserve,88,24.0,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Maryhill 2020 Proprietor's Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Maryhill,[2020]
US,Sangiacomo Vineyard,88,30.0,California,Sonoma Coast,Jim Gordon,@gordone_cellars,Mirror 2020 Sangiacomo Vineyard Chardonnay (Sonoma Coast),Chardonnay,Mirror,[2020]
US,High Elevation Collection,88,21.0,California,Lake County,Jim Gordon,@gordone_cellars,Shannon Ridge 2021 High Elevation Collection Chardonnay (Lake County),Chardonnay,Shannon Ridge,[2021]
France,Chardonnay Blanc de Blancs Brut,89,78.0,Champagne,Champagne,Roger Voss,@vossroger,Boizel NV Chardonnay Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Boizel,[]
